"filename", "language", "JavaScript", "XML", "Properties", "SCSS", "CSS", "HTML", "JSON", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Product.js", "JavaScript", 84, 0, 0, 0, 0, 0, 0, 0, 5, 89
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\SignIn.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 5, 117
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\reportWebVitals.js", "JavaScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\setupTests.js", "JavaScript", 1, 0, 0, 0, 0, 0, 0, 4, 1, 6
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\slices\authSlice.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 1, 6, 119
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\slices\modelSlice.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 1, 5, 22
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\slices\roleSlice.js", "JavaScript", 23, 0, 0, 0, 0, 0, 0, 3, 6, 32
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\store\store.js", "JavaScript", 11, 0, 0, 0, 0, 0, 0, 0, 2, 13
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\tailwind.config.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 1, 2, 10
"Total", "-", 4171, 1, 2, 61, 289, 66, 21140, 152, 376, 26258
